Devices,Model,minimum supply voltage (V_L),maximum supply voltage (V_H),Total Processing Time (us),inference energy (mJ),min. req. cap. size (mF),number of capacitors,kg CO2e (capacitor only)
esp32,kws-s,2.2,3.6,17485,15.605,3.843596059,9,0.09602656038
esp32C6,kws-s,2.2,3.6,13919,8.17,2.012315271,5,0.0533480891
esp32S3,kws-s,2.2,3.6,4815,12.615,3.107142857,7,0.07468732474
nf52840,kws-s,1.8,5,285167,8.623,0.7925551471,2,0.02133923564
rp2040,kws-s,1.8,5.5,28540,2.545,0.1884487227,1,0.01066961782
rp2350,kws-s,1.8,5.5,12802,0.858,0.06353202518,1,0.01066961782
stm32f411fe,kws-s,1.7,3.6,549217,27.163,5.394836147,12,0.1280354138
nxprt1176+TPU,kws-s,4.5,5.5,1727,0.67341239,0.134682478,1,0.01066961782
esp32,kws-l,2.2,3.6,234617,57.24,14.09852217,30,0.3200885346
esp32C6,kws-l,2.2,3.6,166074,27.317,6.728325123,15,0.1600442673
esp32S3,kws-l,2.2,3.6,39250,20.075,4.944581281,11,0.117365796
nf52840,kws-l,1.8,5,3622829,92.469,8.498988971,19,0.2027227386
rp2040,kws-l,1.8,5.5,240586,22.372,1.65657164,4,0.04267847128
rp2350,kws-l,1.8,5.5,59315,3.786,0.2803406146,1,0.01066961782
stm32f411fe,kws-l,1.7,3.6,4569400,209.805,41.6693148,89,0.949595986
nxprt1176+TPU,kws-l,4.5,5.5,2223,1.12663911,0.225327822,1,0.01066961782
esp32,ppd-s,2.2,3.6,560417,118.385,29.158867,63,0.6721859227
esp32C6,ppd-s,2.2,3.6,383057,63.082,15.53743842,34,0.3627670059
esp32S3,ppd-s,2.2,3.6,77083,26.581,6.547044335,14,0.1493746495
nf52840,ppd-s,1.8,5,9875052,240.163,22.07380515,47,0.5014720375
rp2040,ppd-s,1.8,5.5,704748,66.643,4.934690855,11,0.117365796
rp2350,ppd-s,1.8,5.5,189816,12.546,0.9289892632,2,0.02133923564
stm32f411fe,ppd-s,1.7,3.6,12367639,562.023,111.6232373,238,2.539369041
nxprt1176,ppd-s,4.5,5.5,123167,71.33279319,14.26655864,31,0.3307581524
esp32,ppd-l,2.2,3.6,622539,128.869,31.741133,68,0.7255340118
esp32C6,ppd-l,2.2,3.6,425981,67.804,16.70049261,36,0.3841062415
esp32S3,ppd-l,2.2,3.6,87554,28.233,6.953940887,15,0.1600442673
nf52840,ppd-l,1.8,5,10060711,260.794,23.97003676,52,0.5548201266
rp2040,ppd-l,1.8,5.5,744845,69.243,5.127212144,11,0.117365796
rp2350,ppd-l,1.8,5.5,198795,12.886,0.954165124,3,0.03200885346
stm32f411fe,ppd-l,1.7,3.6,12936445,565.373,112.2885799,239,2.550038659
nxprt1176+TPU,ppd-l,4.5,5.5,34147,23.81077179,4.762154358,11,0.117365796
nxprt1176+TPU,pd-MobileNetV2,4.5,5.5,189975,145.45,29.09087175,62,0.6615163048
nxprt1176,pd-MobileNetV2,4.5,5.5,12495275,178.40,35.68,76,0.8108909543
nxprt1176+TPU,pd-YOLOv8,4.5,5.5,286402,245.07,49.01483828,105,1.120309871
nxprt1176,pd-YOLOv8,4.5,5.5,24177126,183.73,36.746,79,0.8428998078